ID	Year	PP(Y)	TC(X1)	II(X2)	ATB(X3)	ML(Z)
15	2020	0,027480538	0,000475931	0,053370088	0,013247573	0,01643893
15	2021	0,028943593	-0,004946874	0,053720604	0,006024226	0,016578122
16	2017	0,025085367	-0,007783774	0,059919951	1,31068E-17	0,012276924
16	2018	0,029587541	-0,012906284	0,059880574	1,31068E-17	0,01127951
16	2019	0,033522296	-0,016503258	0,066124591	1,31068E-17	0,016664198
16	2020	0,035418621	-0,017705981	0,069450345	1,31068E-17	0,013763831
16	2021	0,014501097	-0,010436744	0,063438867	1,31068E-17	0,019140015
17	2017	0,013824513	-0,001109372	0,06318533	1,86805E-05	0,002904086
17	2018	0,009181222	0,003367585	0,062053279	0,006203503	8,9128E-05
17	2019	0,005929177	0,007350668	0,064047797	0,012228735	0,006940804
17	2020	0,004815572	0,013516765	0,062965426	0,018100125	0,001268667
17	2021	0,010328721	0,01925287	0,058513925	0,024057633	0,000330275
18	2017	0,002656159	0,020252416	0,062564369	0,027033041	0,013435137
18	2018	-0,000371178	0,020359628	0,06247937	0,029549198	0,010493856
18	2019	-0,000152016	0,020727104	0,060599976	0,031629312	0,007687567
18	2020	-0,000202407	0,02406883	0,059600757	0,033383595	0,006230454
18	2021	-0,000663318	0,022925662	0,06137528	0,034963619	0,007055531
19	2017	0,008765461	0,018288701	0,061722624	0,029149675	0,012151768
19	2018	0,008458578	0,014141394	0,059994412	0,023370854	0,003564528
19	2019	0,005672084	0,008125441	0,064268157	0,017601076	0,000469195
19	2020	-0,008718735	0,00084182	0,067269952	0,011643993	-0,001035746
19	2021	0,001669786	-0,001723922	0,06362992	0,01002031	-0,008378662
20	2017	0,005573503	0,006608366	0,058110347	0,008804113	-0,004770923
20	2018	0,020967953	0,004470854	0,056696681	0,008748218	-9,48853E-05
20	2019	0,027450144	-0,000378907	0,05787692	0,008612115	-0,001772309
20	2020	0,024188029	-0,002745984	0,056281999	0,008027487	-0,00051393
20	2021	0,023794156	0,009453556	0,056143748	0,008521427	0,00083355
21	2017	0,032654676	0,018722364	0,056287439	0,008318621	0,018065334
21	2018	0,040067522	0,028299501	0,052273689	0,008245293	0,043002959
21	2019	0,051320019	0,034641799	0,047760141	0,008383854	0,037967335
21	2020	0,046781495	0,043249993	0,047856057	0,007262908	0,053363462
21	2021	0,050954066	0,037093563	0,047808204	0,006477756	0,059368213
22	2017	0,048696527	0,038597675	0,044196983	0,00590913	0,05740715
22	2018	0,046940048	0,040055541	0,041959102	0,005704029	0,066324448
22	2019	0,050600776	0,041361864	0,042445948	0,006076969	0,072874883
22	2020	0,050390981	0,031123174	0,0399877	0,006535769	0,072743245
22	2021	0,048622945	0,023779401	0,040039889	0,007890957	0,061705162
23	2017	0,048905898	0,025653433	0,040333915	0,007862673	0,043564967
23	2018	0,049053223	0,019021696	0,048452214	0,007723687	0,054469012
23	2019	0,047886653	0,010151937	0,055220023	0,007492908	0,040998159
23	2020	0,038608356	0,005672106	0,055363689	0,007451246	0,043298303
23	2021	0,03303716	0,016263018	0,058176054	0,006409924	0,052737173
24	2017	0,024829408	0,014940559	0,058492201	0,020605668	0,043818883
24	2018	0,021053127	0,013175899	0,05754609	0,035650702	0,030266578
24	2019	0,034444778	0,011383946	0,059778987	0,04905337	0,046308641
24	2020	0,026437854	0,009619437	0,059725956	0,061371157	0,038173896
24	2021	0,020322233	-0,001870744	0,059487855	0,073987401	0,045634265
25	2017	0,023185116	0,00806875	0,051572207	0,073987401	0,045746742
25	2018	0,022579325	0,008536217	0,044521289	0,073987401	0,040264927
25	2019	0,023527337	0,019352026	0,043998419	0,073514255	0,031578512
25	2020	0,024769105	0,015635796	0,043386347	0,073099984	0,016747607
25	2021	0,023600189	0,019654987	0,044094903	0,05749116	0,027030635
26	2017	0,024233234	0,021974581	0,045950763	0,04127354	0,027384708
26	2018	0,014778013	0,023769207	0,04628029	0,026729801	0,014608029
26	2019	0,01970504	0,025513684	0,046289472	0,014296399	0,017022689
26	2020	0,017620593	0,027715028	0,045957391	0,001680156	0,001956109
26	2021	0,012452511	0,020072509	0,046112326	0,001680156	-0,000400573
27	2017	0,003522405	0,024990469	0,046342405	0,003028041	0,000383732
27	2018	0,008078141	0,018763887	0,046794043	0,004226833	0,000156753
27	2019	0,006678424	0,016634255	0,047217502	0,005410624	0,008868048
27	2020	0,010794064	0,020995983	0,0469154	0,006885494	-0,004257898
27	2021	0,01472634	0,026699393	0,046062482	0,008135437	0,00577081
28	2017	0,013254982	0,02791482	0,04643875	0,00795289	0,005382648
